step,t,wing_q,wing_qd,wing_qdd,wing_q_R,wing_qd_R,wing_qdd_R,airspeed,v_air_wx,v_air_wy,v_air_wz,body_pitch_deg,mod_enabled,mod_delta,mod_mode,mod_smooth,mod_f_eff_hz,mod_fd_hz,mod_fu_hz,omega_w_norm_L,omega_w_norm_R,omega_c_norm_L,omega_c_norm_R,joint_pos_L,joint_pos_R,joint_vel_L,joint_vel_R,eta_tip_L,eta_tip_R,tau_twist_x_L,tau_twist_x_R,tau_hinge_L,tau_hinge_R,power_in_L,power_in_R,power_in_T,F_wang_x_L,F_wang_y_L,F_wang_z_L,tau_wang_x_L,tau_wang_y_L,tau_wang_z_L,F_link_x_L,F_link_y_L,F_link_z_L,tau_link_x_L,tau_link_y_L,tau_link_z_L,F_world_x_L,F_world_y_L,F_world_z_L,tau_world_x_L,tau_world_y_L,tau_world_z_L,F_wang_x_R,F_wang_y_R,F_wang_z_R,tau_wang_x_R,tau_wang_y_R,tau_wang_z_R,F_link_x_R,F_link_y_R,F_link_z_R,tau_link_x_R,tau_link_y_R,tau_link_z_R,F_world_x_R,F_world_y_R,F_world_z_R,tau_world_x_R,tau_world_y_R,tau_world_z_R,p_base_wx,p_base_wy,p_base_wz,p_wing_L_wx,p_wing_L_wy,p_wing_L_wz,p_wing_R_wx,p_wing_R_wy,p_wing_R_wz,F_world_x_T,F_world_y_T,F_world_z_T,tau_world_x_T,tau_world_y_T,tau_world_z_T,tau_world_x_T_about_base,tau_world_y_T_about_base,tau_world_z_T_about_base,aoa_mean_deg_L,aoa_mean_deg_R,aoa_max_deg_L,aoa_max_deg_R,aoa_frac_pre_L,aoa_frac_pre_R,aoa_frac_mid_L,aoa_frac_mid_R,aoa_frac_post_L,aoa_frac_post_R,del_sep_ratio_L,del_sep_ratio_R,del_Nc_L,del_Nc_R,del_Na_L,del_Na_R,del_Fx_suction_L,del_Fx_suction_R,del_Fx_camber_L,del_Fx_camber_R,del_Fx_friction_L,del_Fx_friction_R,del_Fx_total_L,del_Fx_total_R,del_k_mean_L,del_k_mean_R,del_alpha_prime_mean_L,del_alpha_prime_mean_R,del_alpha_le_mean_L,del_alpha_le_mean_R,del_alpha_tip_deg_L,del_alpha_tip_deg_R,del_alpha_prime_tip_deg_L,del_alpha_prime_tip_deg_R,del_alpha_le_tip_deg_L,del_alpha_le_tip_deg_R,del_theta_tip_deg_L,del_theta_tip_deg_R,mod_profile,mod_ff_amp,mod_ff_shift_deg
286,1.1916666666666667,-0.06829130376953176,8.148096775908316,16.850203805997523,-0.06829130376953176,8.148096775908316,16.850203805997523,9.0,-9.0,0.0,0.0,10.0,0,0.5,0.0,0.0,2.5,2.5,2.5,8.148094177246094,8.148096084594727,8.148097038269043,8.148097038269043,-0.044596802443265915,-0.04410826787352562,4.1840362548828125,4.348423957824707,0.10814985632896423,0.10814985632896423,0.0,0.0,nan,nan,6.567224979400635,6.567224979400635,13.13444995880127,0.0,0.4269745945930481,0.06231812760233879,0.0,0.0,0.0,0.06231812760233879,0.0,0.4269745945930481,0.0,0.0,0.0,-0.011883953586220741,-0.06587771326303482,0.42627426981925964,0.0,0.0,0.0,0.0,0.4269745945930481,0.06231812760233879,0.0,0.0,0.0,0.06231812760233879,0.0,0.4269745945930481,-0.0,-0.0,-0.0,-0.011883970350027084,0.06587763130664825,0.42627426981925964,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-1.341104507446289e-07,0.05600005388259888,0.6000000238418579,1.4901161193847656e-08,-0.055999934673309326,0.6000000238418579,-0.023767923936247826,-8.195638656616211e-08,0.8525485396385193,0.0,0.0,0.0,5.21540641784668e-08,5.2232532965490464e-08,1.0302755981683731e-08,17.929767608642578,17.929771423339844,32.9587516784668,32.9587516784668,0.3787931799888611,0.3787931799888611,0.6212068796157837,0.6212068796157837,0.0,0.0,0.0,0.0,0.7299835085868835,0.7299835085868835,-0.30300894379615784,-0.30300894379615784,0.30509719252586365,0.30509719252586365,0.0,0.0,-0.24277906119823456,-0.24277906119823456,0.06231812760233879,0.06231812760233879,0.2387261688709259,0.2387261688709259,-0.15970496833324432,-0.15970496833324432,0.009729426354169846,0.009729426354169846,-29.664997100830078,-29.664997100830078,-21.38202476501465,-21.38202476501465,-11.393414497375488,-11.393414497375488,16.196529388427734,16.196529388427734,0.0,0.0,180.0
287,1.1958333333333333,-0.03421891721321235,8.200810142871132,8.443179398200826,-0.03421891721321235,8.200810142871132,8.443179398200826,9.0,-9.0,0.0,0.0,10.0,0,0.5,0.0,0.0,2.5,2.5,2.5,8.200807571411133,8.200809478759766,8.200810432434082,8.200810432434082,-0.011199298314750195,-0.010665933601558208,3.883281707763672,4.062784671783447,0.10884952545166016,0.10884952545166016,0.0,0.0,nan,nan,6.812505722045898,6.812505722045898,13.625011444091797,0.0,0.3441661298274994,0.06823692470788956,0.0,0.0,0.0,0.06823692470788956,0.0,0.3441661298274994,0.0,0.0,0.0,0.007872401736676693,-0.04148644208908081,0.3483152389526367,0.0,0.0,0.0,0.0,0.3441661298274994,0.06823692470788956,0.0,0.0,0.0,0.06823692470788956,0.0,0.3441661298274994,-0.0,-0.0,-0.0,0.0078723831102252,0.04148637130856514,0.3483152389526367,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-1.6391277313232422e-07,0.05600002408027649,0.6000000238418579,-1.4901161193847656e-08,-0.055999964475631714,0.6000000834465027,0.015744784846901894,-7.078051567077637e-08,0.6966304779052734,0.0,0.0,0.0,1.862645149230957e-08,6.181439005104039e-08,4.685716703534126e-09,17.97788429260254,17.977886199951172,33.081546783447266,33.081539154052734,0.3787931799888611,0.3787931799888611,0.6212068796157837,0.6212068796157837,0.0,0.0,0.0,0.0,0.5846087336540222,0.5846087336540222,-0.2404426634311676,-0.2404426634311676,0.3111129701137543,0.3111129701137543,0.0,0.0,-0.24287603795528412,-0.24287603795528412,0.06823692470788956,0.06823692470788956,0.2387261688709259,0.2387261688709259,-0.16229602694511414,-0.16229602694511414,0.009682165458798409,0.009682165458798409,-29.859914779663086,-29.859914779663086,-21.501073837280273,-21.501073837280273,-11.506781578063965,-11.506781578063965,16.236618041992188,16.236618041992188,0.0,0.0,180.0
288,1.2,-3.844411231883371e-16,8.2184063817909,9.48570450344837e-14,-3.844411231883371e-16,8.2184063817909,9.48570450344837e-14,9.0,-9.0,0.0,0.0,10.0,0,0.5,0.0,0.0,2.5,2.5,2.5,8.218406677246094,8.218403816223145,8.21840763092041,8.21840763092041,0.022230643779039383,0.02280668169260025,3.5634090900421143,3.757214069366455,0.10908307880163193,0.10908307880163193,0.0,0.0,nan,nan,6.941106796264648,6.941106796264648,13.882213592529297,0.0,0.28414100408554077,0.07208125293254852,0.0,0.0,0.0,0.07208125293254852,0.0,0.28414100408554077,0.0,0.0,0.0,0.0218307226896286,-0.024580739438533783,0.2912919819355011,0.0,0.0,0.0,0.0,0.28414100408554077,0.07208125293254852,0.0,0.0,0.0,0.07208125293254852,0.0,0.28414100408554077,-0.0,-0.0,-0.0,0.021830733865499496,0.02458067238330841,0.2912920117378235,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-4.470348358154297e-08,0.05600002408027649,0.6000000238418579,-1.1920928955078125e-07,-0.055999934673309326,0.6000000834465027,0.0436614565551281,-6.705522537231445e-08,0.582584023475647,0.0,0.0,0.0,2.421438694000244e-08,4.644526896413481e-08,-3.14321368932724e-09,17.997446060180664,17.9974422454834,33.1311149597168,33.13111114501953,0.3787931799888611,0.3787931799888611,0.6212068796157837,0.6212068796157837,0.0,0.0,0.0,0.0,0.46103909611701965,0.46103909611701965,-0.1768980771303177,-0.1768980771303177,0.3149898648262024,0.3149898648262024,0.0,0.0,-0.24290862679481506,-0.24290862679481506,0.07208125293254852,0.07208125293254852,0.2387261688709259,0.2387261688709259,-0.16451352834701538,-0.16451352834701538,0.010019407607614994,0.010019407607614994,-29.92877960205078,-29.92877960205078,-21.54710578918457,-21.54710578918457,-11.54710578918457,-11.54710578918457,16.25,16.25,0.0,0.0,180.0
289,1.2041666666666666,0.03421891721320973,8.200810142871136,-8.44317939820018,0.03421891721320973,8.200810142871136,-8.44317939820018,9.0,-9.0,0.0,0.0,10.0,0,0.5,0.0,0.0,2.5,2.5,2.5,8.200807571411133,8.200811386108398,8.200810432434082,8.200810432434082,0.05554981902241707,0.0561661422252655,3.225782871246338,3.432997703552246,0.10884952545166016,0.10884952545166016,0.0,0.0,nan,nan,6.949546813964844,6.949546813964844,13.899093627929688,0.0,0.24727439880371094,0.07365283370018005,0.0,0.0,0.0,0.07365283370018005,0.0,0.24727439880371094,0.0,0.0,0.0,0.02965419553220272,-0.012950913980603218,0.2559731900691986,0.0,0.0,0.0,0.0,0.24727439880371094,0.07365283370018005,0.0,0.0,0.0,0.07365283370018005,0.0,0.24727439880371094,-0.0,-0.0,-0.0,0.029654189944267273,0.012950866483151913,0.2559731900691986,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-1.7136335372924805e-07,0.055999964475631714,0.6000000238418579,0.0,-0.0559999942779541,0.6000000834465027,0.05930838733911514,-4.7497451305389404e-08,0.5119463801383972,0.0,0.0,0.0,-8.381903171539307e-09,4.209689663525751e-08,2.6775524020195007e-09,17.988582611083984,17.988584518432617,33.10767364501953,33.10767364501953,0.3787931799888611,0.3787931799888611,0.6212068796157837,0.6212068796157837,0.0,0.0,0.0,0.0,0.35987037420272827,0.35987037420272827,-0.11259596794843674,-0.11259596794843674,0.316528856754303,0.316528856754303,0.0,0.0,-0.24287603795528412,-0.24287603795528412,0.07365283370018005,0.07365283370018005,0.2387261688709259,0.2387261688709259,-0.16634860634803772,-0.16634860634803772,0.010739061050117016,0.010739061050117016,-29.871326446533203,-29.871326446533203,-21.519941329956055,-21.519941329956055,-11.514233589172363,-11.514233589172363,16.236618041992188,16.236618041992188,0.0,0.0,180.0
290,1.2083333333333333,0.06829130376952915,8.14809677590832,-16.85020380599688,0.06829130376952915,8.14809677590832,-16.85020380599688,9.0,-9.0,0.0,0.0,10.0,0,0.5,0.0,0.0,2.5,2.5,2.5,8.14809513092041,8.14809513092041,8.148097038269043,8.148097038269043,0.08861544728279114,0.08926958590745926,2.871830463409424,3.0915284156799316,0.10814985632896423,0.10814985632896423,0.0,0.0,nan,nan,6.837287425994873,6.837287425994873,13.674574851989746,0.0,0.23380136489868164,0.07283226400613785,0.0,0.0,0.0,0.07283226400613785,0.0,0.23380136489868164,0.0,0.0,0.0,0.031133539974689484,-0.0042844172567129135,0.2428579032421112,0.0,0.0,0.0,0.0,0.23380136489868164,0.07283226400613785,0.0,0.0,0.0,0.07283226400613785,0.0,0.23380136489868164,-0.0,-0.0,-0.0,0.03113354742527008,0.00428436603397131,0.2428579181432724,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-1.2665987014770508e-07,0.05600005388259888,0.5999999642372131,-1.043081283569336e-07,-0.055999934673309326,0.6000000238418579,0.062267087399959564,-5.122274160385132e-08,0.4857158064842224,0.0,0.0,0.0,2.7939677238464355e-08,5.052529417071128e-08,-3.14321368932724e-09,17.95132064819336,17.951316833496094,33.011043548583984,33.01103591918945,0.3787931799888611,0.3787931799888611,0.6212068796157837,0.6212068796157837,0.0,0.0,0.0,0.0,0.2815617620944977,0.2815617620944977,-0.047760412096977234,-0.047760412096977234,0.315611332654953,0.315611332654953,0.0,0.0,-0.24277906119823456,-0.24277906119823456,0.07283226400613785,0.07283226400613785,0.2387261688709259,0.2387261688709259,-0.16779378056526184,-0.16779378056526184,0.011837688274681568,0.011837688274681568,-29.687776565551758,-29.687776565551758,-21.419681549072266,-21.419681549072266,-11.408292770385742,-11.408292770385742,16.196529388427734,16.196529388427734,0.0,0.0,180.0
291,1.2125,0.1020712564788376,8.060492007632488,-25.185073054206406,0.1020712564788376,8.060492007632488,-25.185073054206406,9.0,-9.0,0.0,0.0,10.0,0,0.5,0.0,0.0,2.5,2.5,2.5,8.060489654541016,8.060490608215332,8.060491561889648,8.060491561889648,0.12128593027591705,0.12197516113519669,2.503070116043091,2.7342538833618164,0.10698707401752472,0.10698707401752472,0.0,0.0,nan,nan,6.606753826141357,6.606753826141357,13.213507652282715,0.0,0.2438141107559204,0.06958113610744476,0.0,0.0,0.0,0.06958113610744476,0.0,0.2438141107559204,0.0,0.0,0.0,0.026191342622041702,0.0037677392829209566,0.25216397643089294,0.0,0.0,0.0,0.0,0.2438141107559204,0.06958113610744476,0.0,0.0,0.0,0.06958113610744476,0.0,0.2438141107559204,-0.0,-0.0,-0.0,0.026191346347332,-0.0037677923683077097,0.25216397643089294,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-1.1175870895385742e-07,0.05600005388259888,0.6000000238418579,-2.9802322387695312e-08,-0.055999934673309326,0.6000000238418579,0.0523826889693737,-5.3085386753082275e-08,0.5043279528617859,0.0,0.0,0.0,2.9802322387695312e-08,3.257434144643412e-08,-3.259629011154175e-09,17.885522842407227,17.885522842407227,32.84055709838867,32.84055709838867,0.3787931799888611,0.3787931799888611,0.6212068796157837,0.6212068796157837,0.0,0.0,0.0,0.0,0.2264338731765747,0.2264338731765747,0.017380286008119583,0.017380286008119583,0.3122014105319977,0.3122014105319977,0.0,0.0,-0.24262025952339172,-0.24262025952339172,0.06958113610744476,0.06958113610744476,0.2387261688709259,0.2387261688709259,-0.1688428819179535,-0.1688428819179535,0.013310565613210201,0.013310565613210201,-29.37879180908203,-29.37879180908203,-21.24669647216797,-21.24669647216797,-11.229673385620117,-11.229673385620117,16.129907608032227,16.129907608032227,0.0,0.0,180.0
292,1.2166666666666666,0.13541412439763742,7.938370975110732,-33.41209595311461,0.13541412439763742,7.938370975110732,-33.41209595311461,9.0,-9.0,0.0,0.0,10.0,0,0.5,0.0,0.0,2.5,2.5,2.5,7.9383721351623535,7.9383721351623535,7.938371658325195,7.938371658325195,0.15342141687870026,0.15414293110370636,2.1210808753967285,2.3627142906188965,0.10536616295576096,0.10536616295576096,0.0,0.0,nan,nan,6.263314247131348,6.263314247131348,12.526628494262695,0.0,0.2772562503814697,0.06394322961568832,0.0,0.0,0.0,0.06394322961568832,0.0,0.2772562503814697,0.0,0.0,0.0,0.014884176664054394,0.013523745350539684,0.2838227152824402,0.0,0.0,0.0,0.0,0.2772562503814697,0.06394322961568832,0.0,0.0,0.0,0.06394322961568832,0.0,0.2772562503814697,-0.0,-0.0,-0.0,0.01488418783992529,-0.013523800298571587,0.2838227152824402,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-4.470348358154297e-08,0.05600002408027649,0.6000000834465027,2.9802322387695312e-08,-0.055999964475631714,0.6000000834465027,0.029768364503979683,-5.494803190231323e-08,0.5676454305648804,0.0,0.0,0.0,1.6763806343078613e-08,4.22928803089917e-09,-1.280568540096283e-09,17.790943145751953,17.790939331054688,32.59515380859375,32.59515380859375,0.3929862082004547,0.3929862082004547,0.6070138216018677,0.6070138216018677,0.0,0.0,0.0,0.0,0.1946636140346527,0.1946636140346527,0.08259260654449463,0.08259260654449463,0.3063468337059021,0.3063468337059021,0.0,0.0,-0.24240362644195557,-0.24240362644195557,0.06394322961568832,0.06394322961568832,0.2387261688709259,0.2387261688709259,-0.16949117183685303,-0.16949117183685303,0.0151516143232584,0.0151516143232584,-28.94554901123047,-28.94554901123047,-21.00164222717285,-21.00164222717285,-10.979057312011719,-10.979057312011719,16.037036895751953,16.037036895751953,0.0,0.0,180.0
293,1.2208333333333332,0.16817712824661205,7.78225661935267,-41.4960431276333,0.16817712824661205,7.78225661935267,-41.4960431276333,9.0,-9.0,0.0,0.0,10.0,0,0.5,0.0,0.0,2.5,2.5,2.5,7.782254695892334,7.782254695892334,7.782256603240967,7.782256603240967,0.18488432466983795,0.18563514947891235,1.727512001991272,1.9785076379776,0.10329405218362808,0.10329405218362808,0.0,0.0,nan,nan,5.815151214599609,5.815151214599609,11.630302429199219,0.0,0.33393099904060364,0.05604253709316254,0.0,0.0,0.0,0.05604253709316254,0.0,0.33393099904060364,0.0,0.0,0.0,-0.0026024668477475643,0.02720518223941326,0.3374963700771332,0.0,0.0,0.0,0.0,0.33393099904060364,0.05604253709316254,0.0,0.0,0.0,0.05604253709316254,0.0,0.33393099904060364,-0.0,-0.0,-0.0,-0.00260245893150568,-0.027205249294638634,0.3374963402748108,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-8.940696716308594e-08,0.05600002408027649,0.6000000238418579,-1.2665987014770508e-07,-0.055999934673309326,0.6000000238418579,-0.005204925779253244,-6.705522537231445e-08,0.6749926805496216,0.0,0.0,0.0,3.166496753692627e-08,7.323200179598643e-08,1.6880221664905548e-09,17.667211532592773,17.667211532592773,32.27334213256836,32.27333450317383,0.3929862082004547,0.3929862082004547,0.6070138216018677,0.6070138216018677,0.0,0.0,0.0,0.0,0.18629366159439087,0.18629366159439087,0.147637277841568,0.147637277841568,0.29817748069763184,0.29817748069763184,0.0,0.0,-0.2421349138021469,-0.2421349138021469,0.05604253709316254,0.05604253709316254,0.2387261688709259,0.2387261688709259,-0.16973526775836945,-0.16973526775836945,0.017353573814034462,0.017353573814034462,-28.389657974243164,-28.389657974243164,-20.6854248046875,-20.6854248046875,-10.65737533569336,-10.65737533569336,15.918313026428223,15.918313026428223,0.0,0.0,180.0
294,1.225,0.20021997181341566,7.592817445996747,-49.402297874891865,0.20021997181341566,7.592817445996747,-49.402297874891865,9.0,-9.0,0.0,0.0,10.0,0,0.5,0.0,0.0,2.5,2.5,2.5,7.5928144454956055,7.5928144454956055,7.592817306518555,7.592817306518555,0.21554002165794373,0.2163170427083969,1.32405686378479,1.583292007446289,0.10077962279319763,0.10077962279319763,0.0,0.0,nan,nan,5.273115158081055,5.273115158081055,10.54623031616211,0.0,0.41350021958351135,0.046080686151981354,0.0,0.0,0.0,0.046080686151981354,0.0,0.41350021958351135,0.0,0.0,0.0,-0.025959890335798264,0.04687364026904106,0.4125952124595642,0.0,0.0,0.0,0.0,0.41350021958351135,0.046080686151981354,0.0,0.0,0.0,0.046080686151981354,0.0,0.41350021958351135,-0.0,-0.0,-0.0,-0.025959894061088562,-0.04687374085187912,0.4125952124595642,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-1.4156103134155273e-07,0.0559999942779541,0.6000000238418579,-1.2665987014770508e-07,-0.055999964475631714,0.6000000238418579,-0.051919784396886826,-1.0058283805847168e-07,0.8251904249191284,0.0,0.0,0.0,1.30385160446167e-08,1.1376132391660576e-07,-1.1641532182693481e-10,17.513931274414062,17.513931274414062,31.87328338623047,31.87328338623047,0.3929862082004547,0.3929862082004547,0.6070138216018677,0.6070138216018677,0.0,0.0,0.0,0.0,0.20123180747032166,0.20123180747032166,0.2122684270143509,0.2122684270143509,0.28790175914764404,0.28790175914764404,0.0,0.0,-0.2418210506439209,-0.2418210506439209,0.046080686151981354,0.046080686151981354,0.2387261688709259,0.2387261688709259,-0.16957323253154755,-0.16957323253154755,0.0199078768491745,0.0199078768491745,-27.713220596313477,-27.713220596313477,-20.29924201965332,-20.29924201965332,-10.265849113464355,-10.265849113464355,15.774247169494629,15.774247169494629,0.0,0.0,180.0
295,1.2291666666666667,0.2314054427225815,7.370864662666545,-57.09700439827055,0.2314054427225815,7.370864662666545,-57.09700439827055,9.0,-9.0,0.0,0.0,10.0,0,0.5,0.0,0.0,2.5,2.5,2.5,7.370864391326904,7.370864391326904,7.3708648681640625,7.370864391326904,0.24525733292102814,0.24605734646320343,0.9124609231948853,1.1787774562835693,0.09783364087343216,0.09783364087343216,0.0,0.0,nan,nan,4.65049934387207,4.65049934387207,9.30099868774414,0.0,0.5154911279678345,0.03433163836598396,0.0,0.0,0.0,0.03433163836598396,0.0,0.5154911279678345,0.0,0.0,0.0,-0.05476715415716171,0.07437632977962494,0.5083094239234924,0.0,0.0,0.0,0.0,0.5154911279678345,0.03433163836598396,0.0,0.0,0.0,0.03433163836598396,0.0,0.5154911279678345,-0.0,-0.0,-0.0,-0.054767169058322906,-0.0743764191865921,0.5083094239234924,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-7.450580596923828e-08,0.05600002408027649,0.6000000834465027,-7.450580596923828e-09,-0.0559999942779541,0.6000000834465027,-0.10953432321548462,-8.940696716308594e-08,1.0166188478469849,0.0,0.0,0.0,1.4901161193847656e-08,4.1659202310029286e-08,-4.423782229423523e-09,17.33066749572754,17.33066749572754,31.39282989501953,31.39282989501953,0.40716320276260376,0.40716320276260376,0.592836856842041,0.592836856842041,0.0,0.0,0.0,0.0,0.23925742506980896,0.23925742506980896,0.2762337327003479,0.2762337327003479,0.2758021056652069,0.2758021056652069,0.0,0.0,-0.24147045612335205,-0.24147045612335205,0.03433163836598396,0.03433163836598396,0.2387261688709259,0.2387261688709259,-0.16900470852851868,-0.16900470852851868,0.022804666310548782,0.022804666310548782,-26.9188232421875,-26.9188232421875,-19.84457015991211,-19.84457015991211,-9.805975914001465,-9.805975914001465,15.605454444885254,15.605454444885254,0.0,0.0,180.0
296,1.2333333333333334,0.2615999999999994,7.117348705255077,-64.54721278312425,0.2615999999999994,7.117348705255077,-64.54721278312425,9.0,-9.0,0.0,0.0,10.0,0,0.5,0.0,0.0,2.5,2.5,2.5,7.117345809936523,7.1173481941223145,7.117348670959473,7.117348670959473,0.27390915155410767,0.27472883462905884,0.49451297521591187,0.7667198181152344,0.09446872025728226,0.09446872025728226,0.0,0.0,nan,nan,3.962742328643799,3.962742328643799,7.925484657287598,0.0,0.6393111944198608,0.021135520190000534,0.0,0.0,0.0,0.021135520190000534,0.0,0.6393111944198608,0.0,0.0,0.0,-0.08850523829460144,0.11129852384328842,0.6236544847488403,0.0,0.0,0.0,0.0,0.6393111944198608,0.021135520190000534,0.0,0.0,0.0,0.021135520190000534,0.0,0.6393111944198608,-0.0,-0.0,-0.0,-0.08850523084402084,-0.11129865795373917,0.6236544847488403,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-1.862645149230957e-07,0.0559999942779541,0.6000000238418579,-2.2351741790771484e-08,-0.0559999942779541,0.6000000834465027,-0.17701047658920288,-1.341104507446289e-07,1.2473089694976807,0.0,0.0,0.0,3.725290298461914e-09,1.3537979270950018e-07,-1.816079020500183e-08,17.117006301879883,17.11700439453125,30.829578399658203,30.829578399658203,0.40716320276260376,0.40716320276260376,0.592836856842041,0.592836856842041,0.0,0.0,0.0,0.0,0.3000370264053345,0.3000370264053345,0.33927422761917114,0.33927422761917114,0.2622278928756714,0.2622278928756714,0.0,0.0,-0.24109238386154175,-0.24109238386154175,0.021135520190000534,0.021135520190000534,0.2387261688709259,0.2387261688709259,-0.16803078353405,-0.16803078353405,0.026032891124486923,0.026032891124486923,-26.0095157623291,-26.0095157623291,-19.323152542114258,-19.323152542114258,-9.279521942138672,-9.279521942138672,15.41265869140625,15.41265869140625,0.0,0.0,180.0
297,1.2375,0.2906743459158562,6.833355168012439,-71.72102009337263,0.2906743459158562,6.833355168012439,-71.72102009337263,9.0,-9.0,0.0,0.0,10.0,0,0.5,0.0,0.0,2.5,2.5,2.5,6.833353519439697,6.8333539962768555,6.83335542678833,6.83335542678833,0.3013729155063629,0.30220890045166016,0.07201826572418213,0.3489053249359131,0.09069926291704178,0.09069926291704178,0.0,0.0,nan,nan,3.2271296977996826,3.2271296977996826,6.454259395599365,0.0,0.7842552661895752,0.00689074769616127,0.0,0.0,0.0,0.00689074769616127,0.0,0.7842552661895752,0.0,0.0,0.0,-0.12657257914543152,0.15892423689365387,0.7575132250785828,0.0,0.0,0.0,0.0,0.7842552661895752,0.00689074769616127,0.0,0.0,0.0,0.00689074769616127,0.0,0.7842552661895752,-0.0,-0.0,-0.0,-0.12657257914543152,-0.158924400806427,0.7575132250785828,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-1.1920928955078125e-07,0.05600005388259888,0.6000000238418579,1.4901161193847656e-08,-0.055999934673309326,0.6000000238418579,-0.25314515829086304,-1.6391277313232422e-07,1.5150264501571655,0.0,0.0,0.0,8.940696716308594e-08,9.410341306193004e-08,-6.51925802230835e-09,16.872610092163086,16.872610092163086,30.180959701538086,30.180959701538086,0.4213273823261261,0.4213273823261261,0.5786726474761963,0.5786726474761963,0.0,0.0,0.0,0.0,0.38312989473342896,0.38312989473342896,0.40112531185150146,0.40112531185150146,0.24758793413639069,0.24758793413639069,0.0,0.0,-0.24069719016551971,-0.24069719016551971,0.00689074769616127,0.00689074769616127,0.2387261688709259,0.2387261688709259,-0.16665415465831757,-0.16665415465831757,0.029580174013972282,0.029580174013972282,-24.988828659057617,-24.988828659057617,-18.73700714111328,-18.73700714111328,-8.688528060913086,-8.688528060913086,15.196684837341309,15.196684837341309,0.0,0.0,180.0
298,1.2416666666666667,0.3185039796573624,6.5201001548646165,-78.58770698476948,0.3185039796573624,6.5201001548646165,-78.58770698476948,9.0,-9.0,0.0,0.0,10.0,0,0.5,0.0,0.0,2.5,2.5,2.5,6.520099639892578,6.520097732543945,6.5201005935668945,6.5201005935668945,0.32753121852874756,0.3283799886703491,-0.35318219661712646,-0.07285213470458984,0.08654142171144485,0.08654142171144485,0.0,0.0,nan,nan,2.462413787841797,2.462413787841797,4.924827575683594,0.0,0.9495225548744202,-0.007954448461532593,0.0,0.0,0.0,-0.007954448461532593,0.0,0.9495225548744202,0.0,0.0,0.0,-0.16830287873744965,0.2182134985923767,0.9086877107620239,0.0,0.0,0.0,0.0,0.9495225548744202,-0.007954448461532593,0.0,0.0,0.0,-0.007954448461532593,0.0,0.9495225548744202,-0.0,-0.0,-0.0,-0.16830283403396606,-0.21821364760398865,0.9086876511573792,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-7.450580596923828e-08,0.05600005388259888,0.6000000238418579,-1.564621925354004e-07,-0.055999934673309326,0.6000000238418579,-0.3366057276725769,-1.4901161193847656e-07,1.8173754215240479,0.0,0.0,0.0,1.1175870895385742e-07,2.2994103687778988e-07,4.0978193283081055e-08,16.597265243530273,16.597265243530273,29.44437599182129,29.444368362426758,0.4213273823261261,0.4213273823261261,0.5786726474761963,0.5786726474761963,0.0,0.0,0.0,0.0,0.4880056381225586,0.4880056381225586,0.4615168571472168,0.4615168571472168,0.23234128952026367,0.23234128952026367,0.0,0.0,-0.24029575288295746,-0.24029575288295746,-0.007954448461532593,-0.007954448461532593,0.2387261688709259,0.2387261688709259,-0.16487912833690643,-0.16487912833690643,0.03343292698264122,0.03343292698264122,-23.860776901245117,-23.860776901245117,-18.08844566345215,-18.08844566345215,-8.035325050354004,-8.035325050354004,14.958457946777344,14.958457946777344,0.0,0.0,180.0
